Actor1,Actor2,Actor3,Actor4,Director,Producer,Music,Outcome
Varun Dhawan,Huma Qureshi,Nawazuddin Siddiqui,Radhika Apte,Sriram Raghavan,Dinesh Vijan,SachinJigar,4
Sanjay Suri,Radhika Apte,Shernaz Patel,Anurag Kashyap,Onir,Onir,Amit Trivedi,1
Tusshar Kapoor,Preeti Desai,Alok Chaturvedi,Radhika Apte,Raj Nidimoru,Ekta Kapoor,SachinJigar,2
Vivek Oberoi, Shatrughan Sinha,Zarina Wahab,Radhika Apte,Ram Gopal Varma,Ram Gopal Varma,Sukhwinder Singh,2
Vivek Oberoi, Shatrughan Sinha,Sushant Singh,Radhika Apte,Ram Gopal Varma,Sheetal Vinod Talwar,Sukhwinder Singh,2
Chirag Patil,Sai Tamhankar,Manoj Joshi,Anjan Srivastava,Babloo Seshadri,Anjula Singh Mahor,Shankar Sahney,3
Aamir Khan,Asin Thottumkal,Jiah Khan,Sai Tamhankar,A. R. Murugadoss,Allu Arvind,A. R. Rahman,4
Anil Kapoor,Shefali Shah,Anurag Sinha,Sai Tamhankar,Subhash Ghai,Subhash Ghai,Sukhwinder Singh,1
Anupam Kher,Neha Dhupia,Divyendu Sharma,Aditi Sharma,Ravindra Gautam,Abhinav Shukla,Ram Sampath,2
Ali Zafar,Siddharth Narayan,Divyendu Sharma,Tapsee Pannu,David Dhawan,Viacom 18,SajidWajid,2
Kartik Tiwari, Raayo S Bakhirta,Divyendu Sharma, Sonalli Sehgal,Luv Ranjan,Abhishek Pathak,Luv Ranjan,2
Mallika Sherawat,Jackie Shroff,Anupam Kher,Om Puri,K.C. Bokadia,Nihal Farhat,Aadesh Shrivastav,1
Shahrukh Khan,Abhishek Bachchan,Deepika Padukone,Jackie Shroff,Farah Khan,Shah Rukh Khan,VishalShekhar,4
Rajinikanth,Deepika Padukone,Nasser,Jackie Shroff,Soundarya Rajnikanth,Sunil A Lulla,A R Rahman,3
Abhishek Sethiya,Sonia Mann,Sanjay Kapoor,Jackie Shroff,Mahesh Doijode,Mahesh Doijode,Ravindra Jain,1
Sharman Joshi,Mahie Gill,Anupam Kher,Jackie Shroff,Satish Kaushik,Satish Kaushik,Dharam Sandeep,2
Sonam Kapoor,Abhay Deol,Ira Dubey,Arunoday Singh,Rajshri Ojha,Anil Kapoor,Amit Trivedi,3
Konkona Sen Sharma,Shivani Tanksale,Ira Dubey,Imran Rasheed,Kunal Roy Kapoor,Rohan Sippy,Siddhartha Khosla,1
Sushant Singh Rajput,Parineeti Chopra,Vaani Kapoor,Rishi Kapoor,Maneesh Sharma,Aditya Chopra,SachinJigar,3
Sushant Singh Rajput,Raj Kumar Yadav,Amit Sadh,Amrita Puri,Abhishek Kapoor,Ronnie Screwvala,Amit Trivedi,4
Sunny Deol,Harman Baweja,Ayesha Khanna,Anand Tiwari,Sanamjit Talwar,Sunil A Lulla,Sneha Khanwalkar,1
